Game,Round,Ring Closing,Time Remaining,Time Stamp Value,Match Elapsed,Hit,Target,Target Team,Comments
1,2,No,1:57,787,493,Yes,Hira Hikari,InutoLion,
1,2,No,1:22,819,525,No,,,Close call thanks to Inui's Black Market
1,2,No,0:24,880,586,Yes,Aizawa Ema,3Seiketsu,VS. Jewel Box and 3Seiketsu
1,2,No,0:01,901,607,No,,,
1,2,Yes,0:50,926,632,Yes,Natsuiro Matsuri,3Seiketsu,
1,3,No,0:45,1069,775,No,,,
1,3,Yes,0:40,1124,830,No,,,
2,2,No,1:08,2830,523,Yes,Kaminari Qpi,Dekani9,VS. Dekani9
2,2,No,0:45,2856,549,No,,,
3,1,Yes,1:46,4417,316,Yes,Elu,3Seiketsu,Hunted by Mad Maggie after Ema went down
3,1,Yes,1:17,4445,344,No,,,Jewel Box vs. 3Seiketsu with Starry Sky Magic as interference
3,1,Yes,0:32,4491,390,Yes,Yakumo Beni,Jewel Box,
3,1,Yes,0:07,4516,415,Yes,Yakumo Beni,Jewel Box,
3,1,Yes,0:07,4516,415,Yes,Tokoyami Towa,Jewel Box,
3,2,Yes,0:53,4714,613,Yes,Ichinose Uruha,Team Ichinose,CR Cup 10's most drilled victim gets drilled again
3,3,No,2:03,4784,683,Yes,Yakumo Beni,Jewel Box,VS. Jewel Box
3,3,No,1:40,4805,704,Yes,Tokoyami Towa,Jewel Box,
3,3,No,0:53,4853,752,No,,,
3,3,No,0:16,4890,789,Yes,Ibrahim,Team Ichinose,
4,3,No,1:30,6626,726,No,,,Occupying the neighboring building is Pink à la Mode
4,3,No,0:57,6660,760,No,,,
4,3,No,0:18,6696,796,No,,,
4,3,Yes,0:28,6737,837,Yes,Kaminari Qpi,Dekani9,
4,3,Yes,0:01,6763,863,No,,,
4,4,No,1:27,6785,885,No,,,
4,4,No,0:12,6860,960,No,,,
4,4,Yes,0:11,6907,1007,No,,,
4,5,No,1:09,6943,1043,No,,,
4,5,Yes,0:18,7039,1139,No,,,
5,1,Yes,0:01,8584,414,No,,,
5,2,No,2:23,8611,441,No,,,
5,3,No,1:46,8859,689,No,,,VS. StarReiDogs
5,3,No,1:21,8885,715,No,,,
5,3,No,0:55,8909,739,Yes,Shirayuki Reid,StarReiDogs,
5,4,No,0:49,9073,903,Yes,Axel Syrios,Team Snake Bite,
6,1,Yes,3:33,10318,211,No,,,
6,2,Yes,2:01,10410,303,No,,,
