Game,Round,Ring Closing,Time Remaining,Time Stamp Value,Match Duration,Hit,Target,Target Team,Comments
1,2,No,2:39,5374,445,No,,,
1,2,No,0:35,5503,574,Yes,Kaminari Qpi,Dekani9,
1,2,No,0:35,5503,574,Yes,Hizaki Gamma,Dekani9,
2,2,No,1:30,7304,499,No,,,VS. DatsuCustomBancho and Jewel Box
2,2,No,0:42,7350,545,No,,,
2,3,Yes,0:16,7638,833,Yes,Pakael,DatsuCustomBancho,Rikka escaped the last fight so Pakael could have his revenge
5,2,Yes,2:04,12535,300,No,,,
5,2,Yes,1:17,12581,346,No,,,Oof... missed traded for 2 charge rifle shots
6,1,Yes,1:26,14372,336,No,,,VS. StarReiDogs
6,2,Yes,0:26,14674,638,No,,,VS. Jewel Box
6,3,No,1:44,14734,698,Yes,Tsuna Nekota,Jewel Box,"Meddling in Jewel Box vs. Dekani9, triple drill"
6,3,No,1:44,14734,698,Yes,Kaminari Qpi,Dekani9,
6,3,No,1:44,14734,698,Yes,Shinomiya Runa,Dekani9,
6,3,Yes,0:23,14864,828,No,,,
7,2,No,0:04,16185,588,Yes,Hanabusa Lisa,Pink Brain,Triple drill onto Pink Brain; Tense fight vs. Pink Brain
7,2,No,0:04,16185,588,Yes,Fura Kanato,Pink Brain,
7,2,No,0:04,16185,588,Yes,Makaino Ririmu,Pink Brain,
7,2,Yes,0:25,16239,642,No,,,
7,4,No,1:00,16497,900,Yes,Shishigami Leona,InutoLion,VS. InutoLion
8,2,No,1:15,18541,512,No,,,
8,2,No,0:37,18577,548,Yes,Higuchi Kaede,Maple Nuts Bunny-dayo,VS. Maple Nuts Bunny-dayo (ft. a tired Kaede and Mimi)
8,2,No,0:13,18602,573,No,,,
8,2,Yes,1:00,18629,600,No,,,
8,2,Yes,0:17,18673,644,Yes,Tosaki Mimi,Maple Nuts Bunny-dayo,Mimi screams
8,3,No,2:03,18707,678,No,,,
8,3,No,1:13,18754,725,No,,,
8,3,No,0:39,18789,760,Yes,Higuchi Kaede,Maple Nuts Bunny-dayo,
8,3,Yes,0:40,18835,806,Yes,Kurumi Noah,Maple Nuts Bunny-dayo,
8,3,Yes,0:40,18835,806,Yes,Higuchi Kaede,Maple Nuts Bunny-dayo,
8,3,Yes,0:10,18865,836,No,,,Distracted by a 3rd party (Team Hinano)
