Game,Round,Ring Closing,Time Remaining,Time Stamp Value,Match Elapsed,Hit,Target,Target Team,Comments,
6,2,No,1:33,13259,497,No,,,Aimed towards Team Snake Bite vs. AQF,
6,2,Yes,1:05,13363,601,No,,,Aimed towards Pink Brain,
6,3,No,1:21,13487,725,Yes,Kuzuha,AQF,lol,
6,4,Yes,0:26,13740,978,No,,,Aimed at Leona from InutoLion,
6,4,Yes,0:03,13765,1003,No,,,Aimed at KGH; drill eaten by Shiina's pylon?,
6,5,No,0:46,13817,1055,Yes,Utai Meika,Kansai Genki Hoan Kyoukai,Harassing KGH,*
6,5,No,0:22,13838,1076,No,,,,
6,5,Yes,0:16,13890,1128,No,,,,
6,6,No,0:52,13916,1154,No,,,,
6,6,No,0:26,13943,1181,No,,,Aimed at Niu from Gorilla Transportation,
6,6,No,0:04,13943,1181,Yes,Hanabusa Lisa,Pink Brain,Another triple drill onto Pink Brain,
6,6,No,0:04,13943,1181,Yes,Fura Kanato,Pink Brain,,
6,6,No,0:04,13943,1181,Yes,Makaino Ririmu,Pink Brain,,
6,6,Yes,1:34,14001,1239,No,,,,
