Team Name,Leader,Member 1,Member 2,Coach
StarReiDogs,Shirayuki Reid,Hoshikawa Sara,Aruse Inu,BobSappAim
Jewel Box,Tsuna Nekota,Tokoyami Towa,Yakumo Beni,Cpt
Kansai Genki Hoan Kyoukai,Honma Himawari,Shiina Yuika,Utai Meika,Mukai
Pink Brain,Hanabusa Lisa,Fura Kanato,Makaino Ririmu,YufuNa
Sadame Gaming,Ichinose Uruha,Komori Met,Ibrahim,uruca
Gorilla Transportation,Virtual Gorilla,Yozuna Niu,Kaga Nazuna,Dexyuku
InutoLion,Shishigami Leona,Inui Shinichiro,Hira Hikari,AhnuG
DatsuKasu,Pakael,Kuga Leo,Rikka,Eden
KatyouGetsu,Tachibana Hinano,Watarai Hibari,Uzuki Kou,Mondo
Maple Nuts Bunny-dayo,Kurumi Noah,Higuichi Kaede,Tosaki Mimi,M1ko_d4yo
Dekani9,Shinomiya Runa,Kaminari Qpi,Hizaki Gamma,Rinshan
3Seiketsu,Natsuiro Matsuri,Elu,Aizawa Ema,rpr
Team Snake Bite,Axel Syrios,Selen Tatsuki,Regis Altare,oh Nocturnal
Episenda,Kaga Sumire,Yuuki Chihiro,La+ Darknesss,dtto.
Team Solo NIJISANJI,Kanae,Lauren Iroas,Yuhi Riri,ChaNRiyo
Pink à la Mode,Ha Yun,Yang Nari,Minase,H1yaA
Mayumi-do Shiroan Set,Yukishiro Mahiro,Seto Miyako,And Uge,Tsubaki
NIJISANJI Destroy,Ratna Petit,Naraka,Naruse Naru,Alelu
AQF,Kuzuha,Ex Albio,Fuwa Minato,DizzyTrickstar
